title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
4633,Extraordinary Attorney Woo,ROMANCE,"Yuil,HwaUmJo,Moon Jiwon",WEDNESDAY,3,126487,9.86,1150262,95372,ONGOING,False,"Diangkat dari serial drama “EXTRAORDINARY ATTORNEY WOO”! Setelah menyelesaikan studinya di Universitas Korea dengan predikat lulusan terbaik, Woo Youngwoo memulai karirnya sebagai pengacara di firma hukum besar. Gangguan spektrum autisme yang dimilikinya memberi Youngwoo perspektif unik dalam memecahkan beragam kasus hukum. Berbekal IQ tinggi dan ingatan fotografisnya pula, Woo Youngwoo menunjukkan pada semua orang bahwa ia mampu membela klien dan memenangkan persidangan."
4631,Toko Permen Helianthus,SLICE_OF_LIFE,fauziapaw,SUNDAY,3,18821,9.85,81724,15812,ONGOING,False,"Toko permen itu ada di ujung jalan. Sudah hampir tujuh tahun sejak tempatnya ditutup, tapi Nana masih sering berkunjung saat mengalami hari yang buruk. Di tahun yang berat baginya, secara ajaib toko itu kembali dibuka. Ini awal pertemuan dari 3 orang yang datang berteduh dari kehidupan, untuk sejenak dan belajar memaafkan."
4630,The Great Inheritance,DRAMA,"EUNSU,0510",SATURDAY,3,33285,8.21,182037,14972,ONGOING,False,"Setelah Hwajeong hamil di luar nikah, sikap Taeha selaku ayah dari anaknya berubah menjadi dingin dan ketus. Tak hanya itu, Hwajeong bahkan menangkap basah Taeha berselingkuh! Tapi, nasib buruk Hwajeong mendadak berubah setelah ia dikabarkan berpotensi mendapat warisan senilai 50 miliar won! Tak hanya itu, tiba-tiba sikap Taeha pun berubah 180 derajat. Apakah Hwajeong akhirnya mendapatkan akhir bahagianya? Atau ini justru awal dari kemalangan lain yang menantinya?"
4628,The Age of Cruelty,ACTION,"IRON Shin,Jang Daehyeon",MONDAY,7,21010,9.71,243393,24220,ONGOING,True,"Majino menemukan seseorang yang wajahnya sangat mirip dengannya di sosial media! Dengan bantuan teman, ia menggali informasi tentangnya dan mendapatkan bahwa anak yang bernama Jin Jintae itu adalah siswa teladan yang berasal dari keluarga kaya raya, sedangkan Majino sendiri berandalan sekolah yang dibesarkan di panti asuhan. Mengapa mereka kembar identik, namun nasib mereka sangat berbeda? Apa yang sebenarnya terjadi?! Majino mencoba mencari kebenaran tentang masa lalunya, dan hidupnya pun melekat pada sosok Jin Jintae. Akan tetapi… tak ada yang mudah di era yang kejam ini. "
4627,Dungeons & Artifacts,FANTASY,"Zerowater,UMKY",SUNDAY,4,26469,9.56,143684,10871,ONGOING,False,"Dungeon dan artefak, kedua hal ini sangat dicari apalagi oleh seorang penjelajah, termasuk Stitch Atelier. Suatu hari saat melakukan pekerjaannya, Stitch dihadapkan dengan ""kematian"" yang lalu mengubah hidupnya. Ternyata itu ulah artefak! Apa yang terjadi?"
4626,Sinister Stories,HORROR,MONKILL,SATURDAY,4,51412,9.86,394882,40881,ONGOING,False,Mengapa penduduk desa dilarang menaiki bukit? Apa yang akan kamu lakukan jika terjebak di kamar mandi? Kamu percaya hantu itu nyata? Cerita-cerita aneh dan menyeramkan ini akan bikin kamu merinding!
4625,Bad Boy Crush,ROMANCE,JYABACHIP,THURSDAY,4,81867,9.3,479455,52575,ONGOING,False,"Lily, seorang siswi yang pintar di sekolah ini memiliki tipe ideal yang tak biasa. Bukan cowok manis yang baik dan memperlakukannya bak seorang putri yang dicarinya, tapi cowok jahat bak villain lebih menggoda di matanya. Akhirnya Lily berhasil menemukan cowok yang seperti villain di sekolah, apakah dia bisa membuat cowok ini jadi miliknya?"
4624,Another Love,ROMANCE,"I SOON KI,DDOGAK,sparkler",WEDNESDAY,4,73641,9.63,517408,31834,ONGOING,False,"Berniat kabur dari trauma masa lalunya, Jae malah terjebak dengan seorang pria tampan bernama Joff. Walau hubungan mereka berawal dari salah paham, obrolan yang 'nyambung' membuat keduanya menjadi akrab. Namun, di saat hubungan mereka mulai ditumbuhi perasaan cinta, Jae tiba-tiba menghilang..."
4623,Lifesaving Romance,ROMANCE,"HAPPYBOOKSTOYOU,SJ,SOO",TUESDAY,4,89373,9.37,627152,41672,ONGOING,False,"Eunhong yang seorang aktris biasa, suatu hari terlibat dengan seorang pria misterius bernama Kang-Il dan tidak sengaja menusukkan suatu obat ke dalam tubuhnya sendiri. 
Alhasil karena obat itu, sekarang Eunhong harus berpura-pura berakting sebagai tunangannya Kang-il dan harus terus bersama dengannya.. karena Kang-il tidak bisa bertahan hidup tanpa menerima antibodi yang ada di tubuh Eunhong!"
4622,Even More,ROMANCE,"topy,seong,DAL-RO",SUNDAY,5,80615,9.79,607588,43597,ONGOING,False,"Go Wooyeon, seorang manajer galeri yang baru saja diselingkuhi pacarnya. Kwon Jeongheon, direktur M Holdings yang terkenal dengan sebutan ‘Anjing Haesin’. Keduanya bertemu lagi secara kebetulan setelah sekian lama, dan perasaan yang terpendam di masa lalu kembali muncul—bersamaan dengan ingatan dan luka lama."
